,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,MultiModalPredictor,0.33111037012337446,0.32,accuracy,45.0123176574707,2.9512360095977783,371.06584191322327,45.0123176574707,2.9512360095977783,371.06584191322327,1,True,7
1,CatBoost,0.3307769256418806,0.31,accuracy,0.039791107177734375,0.010167837142944336,2.2259891033172607,0.039791107177734375,0.010167837142944336,2.2259891033172607,1,True,3
2,LightGBMLarge,0.32277425808602866,0.36,accuracy,0.010828018188476562,0.004247903823852539,2.5662872791290283,0.010828018188476562,0.004247903823852539,2.5662872791290283,1,True,6
3,WeightedEnsemble_L2,0.32277425808602866,0.37,accuracy,0.08349227905273438,0.0257413387298584,9.833216428756714,0.0035948753356933594,0.0007925033569335938,0.06329989433288574,2,True,8
4,LightGBMXT,0.3177725908636212,0.34,accuracy,0.021742820739746094,0.008552312850952148,0.6866004467010498,0.021742820739746094,0.008552312850952148,0.6866004467010498,1,True,2
5,LightGBM,0.3167722574191397,0.35,accuracy,0.020322322845458984,0.00468897819519043,4.902806520462036,0.020322322845458984,0.00468897819519043,4.902806520462036,1,True,1
6,NeuralNetTorch,0.300433477825942,0.31,accuracy,0.06906938552856445,0.020700931549072266,7.2036292552948,0.06906938552856445,0.020700931549072266,7.2036292552948,1,True,5
7,XGBoost,0.2870956985661887,0.34,accuracy,0.06411337852478027,0.01564955711364746,0.8878569602966309,0.06411337852478027,0.01564955711364746,0.8878569602966309,1,True,4
