model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.9619619619619619,accuracy,0.5368492603302002,110.05451965332031,0.0012025833129882812,0.1511063575744629,2,True,12
XGBoost,0.9569569569569569,accuracy,0.4870295524597168,14.8517746925354,0.4870295524597168,14.8517746925354,1,True,9
CatBoost,0.955955955955956,accuracy,0.012842655181884766,72.8412230014801,0.012842655181884766,72.8412230014801,1,True,6
LightGBM,0.955955955955956,accuracy,0.2060399055480957,9.140319347381592,0.2060399055480957,9.140319347381592,1,True,3
RandomForestEntr,0.94994994994995,accuracy,0.12093615531921387,9.580190420150757,0.12093615531921387,9.580190420150757,1,True,5
LightGBMLarge,0.94994994994995,accuracy,0.5621809959411621,16.798802614212036,0.5621809959411621,16.798802614212036,1,True,11
NeuralNetTorch,0.948948948948949,accuracy,0.02625441551208496,162.7509582042694,0.02625441551208496,162.7509582042694,1,True,10
ExtraTreesGini,0.9469469469469469,accuracy,0.13095879554748535,2.5752456188201904,0.13095879554748535,2.5752456188201904,1,True,7
LightGBMXT,0.9459459459459459,accuracy,0.25663208961486816,15.14088749885559,0.25663208961486816,15.14088749885559,1,True,2
RandomForestGini,0.944944944944945,accuracy,0.11957025527954102,6.723724603652954,0.11957025527954102,6.723724603652954,1,True,4
ExtraTreesEntr,0.9429429429429429,accuracy,0.1767439842224121,2.9325473308563232,0.1767439842224121,2.9325473308563232,1,True,8
NeuralNetFastAI,0.93993993993994,accuracy,0.03577446937561035,22.210415601730347,0.03577446937561035,22.210415601730347,1,True,1
